definition_key,defining_subtopic,slug,sha256,links
255-10 IncomefromContinuingOperations,255-10,income-from-continuing-operations,a8f55ac58f70ff383148affcfb58ba995a3d84ecbfe1b621fe5ee4ac7dd93509,6
255-10 MineralResourceAssets,255-10,mineral-resource-assets,f2e9bba6308d1dc5e458d37d19b6f96871d6d47c111822bd702204a871cda847,1
255-10 MonetaryAssets,255-10,monetary-assets,7588ed432e89b81778775778151e2170b8201837c04773100c1562c0f06edd1c,8
255-10 MonetaryLiability,255-10,monetary-liability,61f194abd64ecf777274c0d61b5b959955fd6e67832a97717bef9ca54f5bf2ba,4
255-10 MotionPictureFilms,255-10,motion-picture-films,4200da9d8a1c9219fca3babcd6f9cc877f00d2da05e47304410354adc910297c,1
255-10 ParityAdjustment,255-10,parity-adjustment,45a637d84b2c1b81ed5a37d32b81d6e585f4a3750d7e0bd078cd85cfe8c86a3f,2
255-10 PurchasingPowerGainorLoss,255-10,purchasing-power-gain-or-loss,6c083b29c5dd4e33027d79319186523e452c34cc396d0466366cfefecfa29405,5
255-10 RecoverableAmount,255-10,recoverable-amount,1351b2b6998302a10d14c6e9583fa51902dfb06ea296595b7b3faee6cd8328cb,3
255-10 Restate-translate,255-10,restate-translate,982de55692747a5d99af27a3465d3a895af9f5ec4e336b805b257cc0844a0fa3,3
255-10 Translate-restate,255-10,translate-restate,57803f70cbd9e5ac8f8415a2a025b0261568b3279f9246d5860795a4bc24ca69,2
255-10 ValueinUse,255-10,value-in-use,131493b566a86e507cb3638a45aa323e2d120ac34706812fed306444ea1338f3,1
260-10 Antidilution_Antidilutive_,260-10,antidilution,a6d65f5aea93c247db4e2104099ccf4b3dd2fb1d7aed533677109e2f557cff8b,1
260-10 BasicEarningsPerShare_basicEPS_,260-10,basic-earnings-per-share,de8ae3961937016ace252c8db8296c56698dadf4b5f799fbbbf4ea7d51fd637f,5
260-10 CallOption,260-10,call-option,f28682997135fcb024c0f2ebb4714ef9ca4b0d674fbfb183b8872e4d9a85183f,2
260-10 CommonStock_CommonShares_,260-10,common-stock,f2f37596db6ed2199961a380ae9532853a2a2e3d89eaf102b81353ebc7d7ba5f,13
260-10 ContingentIssuance,260-10,contingent-issuance,1ec4c07d82e6c0ac4b19832f8a61330a6574fe7a31cd3d9502cdccb083010dba,1
260-10 ContingentStockAgreement,260-10,contingent-stock-agreement,2c5b3208ef4e120519b6afdbc8ca3bb9159660ed65712b51bb788915ab3bbde9,4
260-10 ContingentlyConvertibleInstruments,260-10,contingently-convertible-instruments,b372efb560a84d48f40f8ccbeffbfc51074181669fc9f08328a1c8c2298ffb46,6
260-10 ContingentlyIssuableShares_ContingentlyIssuableStock_,260-10,contingently-issuable-shares,a63d0f0c595c7850d1d092036ba4cd436c7db03837f778aa29f42ae19fb762a5,3
260-10 ConversionRate_ConversionRatio_,260-10,conversion-rate,161b4fd02f3d52dea3b06792b2f7bb89e39dafa52535935799d5df36d63046e3,2
260-10 ConvertibleSecurity,260-10,convertible-security,a5a20f66ecfb013359fe4ec23dd73e8dc430c1f1498c2623173760859c457b6f,9
260-10 DilutedEarningsPerShare_DilutedEPS_,260-10,diluted-earnings-per-share,328c82e9d22b03c59f2064820f1b8dc269f369b2222f469867f9f717f949bfda,1
260-10 Dilution_Dilutive_,260-10,dilution,70201c7a4aadc55fee8527c99fea2a1eea44ebbae8025ee1bf3a5e8a9c64fa83,1
260-10 EarningsPerShare_EPS_,260-10,earnings-per-share,490167c104b0e119d6f1a9a2a28201c48c8bc37df8ab7446e22a2461e6f8ff74,8
260-10 ExercisePrice,260-10,exercise-price,635aed48eb6100414a41fcdf563dc972129fafc79e349186006035b155ff9485,2
260-10 If-ConvertedMethod,260-10,if-converted-method,739c299c1e7209ca244ff70d1087c1c3b607f8647b81dddd7345b3680e68e35f,4
260-10 IncomeAvailabletoCommonStockholders,260-10,income-available-to-common-stockholders,6b52f29a2993f9d7ef204f98f4513a8b9f71271c3aacfda8f5d7753ec2badef5,5
260-10 Option,260-10,option,ea756da13de843cc55256c321e91c0df8fc98bb90d02f4715f805a10fc85bd5c,9
260-10 PotentialCommonStock,260-10,potential-common-stock,095c176d5de6c86d265ad8e04968cd7022cc91622802d79daf1376da910e2a72,2
260-10 PreferredStock,260-10,preferred-stock,a899f9457ca5742c70e2bc72b5ade5db41f83de5aebf3ed01e1a2dd0a86142e2,7
260-10 PurchasedCallOption,260-10,purchased-call-option,baacac1be8596e49152c44a65f38eed2e3293ec15c4ae763b52b12b33b5c2725,1
260-10 PutOption,260-10,put-option,b5d6ab67acbeab922a786f843c7d0705e78a0822a9cf3a54241388dced2d72b9,1
260-10 ReverseTreasuryStockMethod,260-10,reverse-treasury-stock-method,1555c846949e1a1180729e3a936ceeef2fc8fc2e75f7746f852d7d4adf21e947,3
260-10 RightsIssue,260-10,rights-issue,921ec890200fe9cae238833254094ae1d85405793d48442668c5fea349d14dd1,1
260-10 Security,260-10,security,e6183c55acea21da164e97e1522fcf1e5a563eecbaf2e17109da1aaae9f3b78f,5
260-10 TreasuryStockMethod,260-10,treasury-stock-method,8b9e777a537e762ba8ca29ac53ecca67406bb0aae4a8bd2bd21d2ed0953d1083,4
260-10 Warrant,260-10,warrant,5c0a53e5d5f70c56891027dc65902edf7966197add5da29d5654819d2fadbc57,2
