code,slug,term,cycle_id,cycle_size,members,uses_in_cycle,target,kind,entries,source
DANGLING,fully-insured-experience-rated-arrangement,fully insured experience-rated arrangements,,,,,965-310-25-2,paragraph not in snapshot,,
DANGLING,fully-insured-experience-rated-arrangement,fully insured experience-rated arrangements,,,,,965-310-25-3,paragraph not in snapshot,,
DANGLING,goodwill,Goodwill,,,,,958-805-25-29,paragraph not in snapshot,,
DANGLING,government-grant,Government Grant,,,,,832-10-65-2A,paragraph not in snapshot,,
DANGLING,grant-related-to-an-asset,Grant Related to an Asset,,,,,832-10-65-2A,paragraph not in snapshot,,
DANGLING,grant-related-to-income,Grant Related to Income,,,,,832-10-65-2A,paragraph not in snapshot,,
DANGLING,immediate-family,immediate family,,,,,942-210-S99-1,paragraph not in snapshot,,
DANGLING,income-taxes-currently-payable-refundable,income taxes currently payable,,,,,Current Tax Expense ,pointer to a term with no entry,,
DANGLING,libor-swap-rate,LIBOR Swap Rate,,,,,London Interbank Offered Rate ,pointer to a term with no entry,,
DANGLING,london-interbank-offered-rate-swap-rate,London Interbank Offered Rate (LIBOR),,,,,815-20-65-4,paragraph is a superseded placeholder,,
DANGLING,natural-expense-classification,Natural Expense Classification,,,,,220-40-65-1A,paragraph not in snapshot,,
DANGLING,nonmanaging-investors,nonmanaging investors,,,,,Nonregistered Investment Partnerships—Financial Highlights,pointer to a term with no entry,,
DANGLING,obligation,Obligation,,,,,105-10-65-9A,paragraph not in snapshot,,
DANGLING,ordinary-course-of-business,ordinary course of business,,,,,942-210-S99-1,paragraph not in snapshot,,
DANGLING,plan-s-benefit-formula,plan's benefit formula,,,,,Pension Benefit Formula,pointer to a term with no entry,,
DANGLING,postretirement-benefit-plan,postretirement benefit plan,,,,,Plan,pointer to a term with no entry,,
DANGLING,properties,Properties,,,,,932-235-50-7,paragraph not in snapshot,,
DANGLING,regulatory-assets-and-regulatory-liabilities,regulatory assets and regulatory liabilities,,,,,980-340-25-1,paragraph not in snapshot,,
DANGLING,regulatory-assets-and-regulatory-liabilities,regulatory assets and regulatory liabilities,,,,,980-405-25-1,paragraph not in snapshot,,
DANGLING,significant-changes,significant,,,,,926-20-65-2,paragraph is a superseded placeholder,,
DANGLING,significant-oil-and-gas-producing-activities,Significant Activities,,,,,932-235-50-24,paragraph not in snapshot,,
DANGLING,significant-geographic-area,significant geographic area,,,,,942-235-S99-1,paragraph not in snapshot,,
DANGLING,theoretical-investment,theoretical investment,,,,,Nonregistered Investment Partnerships—Financial Highlights,pointer to a term with no entry,,
DANGLING,trading,trading,,,,,948-310-40-1,paragraph not in snapshot,,
DANGLING,unitized,unitized,,,,,Nonregistered Investment Partnerships—Financial Highlights,pointer to a term with no entry,,
DANGLING,valuation-of-assets,Valuation of assets,,,,,962-205-S99-1,paragraph not in snapshot,,
DANGLING,value,Value,,,,,946-320-S99-12,paragraph not in snapshot,,
DANGLING,variable-interests,Variable Interests,,,,,810-10-55-33,paragraph is a superseded placeholder,,
DANGLING,variable-interests,Variable Interests,,,,,810-10-55-34,paragraph is a superseded placeholder,,
DANGLING,variable-interests,Variable Interests,,,,,810-10-55-35,paragraph is a superseded placeholder,,
DANGLING,variable-interests,Variable Interests,,,,,810-10-55-36,paragraph is a superseded placeholder,,
HOMONYM,actual-return-on-plan-assets-component-of-net-periodic-pension-cost,Actual return on plan assets,,,,,,,2,
HOMONYM,actual-return-on-plan-assets-component-of-net-periodic-postretirement-benefit-cost,Actual return on plan assets,,,,,,,2,
HOMONYM,benefits,Benefits,,,,,,,2,
HOMONYM,benefit,benefits,,,,,,,2,
HOMONYM,plan-curtailment,curtailment,,,,,,,2,
HOMONYM,curtailment,curtailment,,,,,,,2,
HOMONYM,direct-financing-lease,Direct Financing Lease,,,,,,,2,
HOMONYM,direct-financing-leases,direct financing lease,,,,,,,2,
HOMONYM,fed-funds-effective-rate-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,,,,,,,2,
HOMONYM,fed-funds-effective-swap-rate-or-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,,,,,,,2,
HOMONYM,gain-or-loss,Gain or Loss,,,,,,,2,
HOMONYM,gain-or-loss-component-of-net-periodic-pension-cost,Gain or loss,,,,,,,2,
HOMONYM,interest-cost-component-of-net-periodic-pension-cost,Interest cost,,,,,,,3,
HOMONYM,interest-cost-component-of-net-periodic-postretirement-benefit-cost,Interest cost,,,,,,,3,
HOMONYM,interest-cost,Interest Cost,,,,,,,3,
HOMONYM,market,market,,,,,,,2,
HOMONYM,market-condition,market,,,,,,,2,
HOMONYM,mortality,mortality,,,,,,,2,
HOMONYM,mortality-rate,mortality,,,,,,,2,
HOMONYM,pension-benefit-formula,plan's benefit formula,,,,,,,2,
HOMONYM,plan-s-benefit-formula,plan's benefit formula,,,,,,,2,
HOMONYM,probable,Probable,,,,,,,2,
HOMONYM,probable-reserves,probable,,,,,,,2,
HOMONYM,settlement-of-a-pension-or-postretirement-benefit-obligation,settlement,,,,,,,2,
HOMONYM,settlement-of-an-award,settlement,,,,,,,2,
NONAUTH,expected-losses-and-expected-residual-returns,Expected Losses and Expected Residual Returns,,,,,,,,Concepts Statement
NONAUTH,financial-instrument,Financial Instrument,,,,,,,,Concepts Statement
NONAUTH,obligation,Obligation,,,,,,,,Concepts Statement
NONAUTH,readily-convertible-to-cash,Readily Convertible to Cash,,,,,,,,Concepts Statement
NONAUTH,restructuring,restructuring,,,,,,,,IFRS / IAS
NONAUTH,transaction,Transaction,,,,,,,,Concepts Statement
NONAUTH,transfer,Transfer,,,,,,,,Concepts Statement
PENDING,acquirer,Acquirer,,,,,,,,
PENDING,compliance-environmental-credit,Compliance Environmental Credit,,,,,,,,
PENDING,condensed-statements,Condensed Statements,,,,,,,,
PENDING,contractually-specified-component,contractually specified component,,,,,,,,
PENDING,employee-compensation,Employee Compensation,,,,,,,,
PENDING,environmental-credit,Environmental Credit,,,,,,,,
PENDING,environmental-credit-obligation,Environmental Credit Obligation,,,,,,,,
PENDING,expected-losses-and-expected-residual-returns,Expected Losses and Expected Residual Returns,,,,,,,,
PENDING,fed-funds-effective-swap-rate-or-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,,,,,,,,
PENDING,financial-instrument,Financial Instrument,,,,,,,,
PENDING,forgivable-loan,Forgivable Loan,,,,,,,,
PENDING,government-grant,Government Grant,,,,,,,,
PENDING,grant-related-to-an-asset,Grant Related to an Asset,,,,,,,,
PENDING,grant-related-to-income,Grant Related to Income,,,,,,,,
PENDING,london-interbank-offered-rate-swap-rate,London Interbank Offered Rate (LIBOR),,,,,,,,
PENDING,natural-expense-classification,Natural Expense Classification,,,,,,,,
PENDING,noncompliance-environmental-credit,Noncompliance Environmental Credit,,,,,,,,
PENDING,obligation,Obligation,,,,,,,,
PENDING,performance-condition,Performance Condition,,,,,,,,
PENDING,performance-requirements,Performance Requirements,,,,,,,,
PENDING,preliminary-project-stage,preliminary project stage,,,,,,,,
PENDING,purchased-seasoned-loans,purchased seasoned loans,,,,,,,,
PENDING,readily-convertible-to-cash,Readily Convertible to Cash,,,,,,,,
PENDING,significant-changes,significant,,,,,,,,
PENDING,transaction,Transaction,,,,,,,,
PENDING,transfer,Transfer,,,,,,,,
POINTER,acquisition-of-properties,Acquisition of Properties,,,,,,,,
POINTER,annuity-trust,annuity trust,,,,,,,,
POINTER,applicable-statutory-federal-income-tax-rate,applicable statutory Federal income tax rate,,,,,,,,
POINTER,associate,associate,,,,,,,,
POINTER,baby-bonds,baby bonds,,,,,,,,
POINTER,balance-sheets,Balance sheets,,,,,,,,
POINTER,benefit-formula,benefit formula,,,,,,,,
POINTER,benefit,benefits,,,,,,,,
POINTER,business,Business,,,,,,,,
POINTER,cashless-exercise,cashless exercise,,,,,,,,
POINTER,consideration-in-the-contract,Consideration in the Contract,,,,,,,,
POINTER,control-of-a-not-for-profit-entity,Control of a Not-for-Profit Entity,,,,,,,,
POINTER,coverage-period,coverage period,,,,,,,,
POINTER,curtailment,curtailment,,,,,,,,
POINTER,day-one-bonus,day-one bonuses,,,,,,,,
POINTER,derivative-instrument,derivative instruments,,,,,,,,
POINTER,developed-oil-and-gas-reserves,Developed Oil and Gas Reserves,,,,,,,,
POINTER,development-costs,Development Costs,,,,,,,,
POINTER,equity-kicker,equity kicker,,,,,,,,
POINTER,executive-officers,executive officers,,,,,,,,
POINTER,exploration-costs,exploration costs,,,,,,,,
POINTER,face-amount,face amount,,,,,,,,
POINTER,fees,fees,,,,,,,,
POINTER,financial-guarantee-reinsurance-contract,financial guarantee reinsurance contracts,,,,,,,,
POINTER,foreign-activities,foreign activities,,,,,,,,
POINTER,forward-commitment-dollar-roll,forward commitment dollar rolls,,,,,,,,
POINTER,front-end-fees,front-end fee,,,,,,,,
POINTER,homeowners-association,homeowners association,,,,,,,,
POINTER,immediate-family,immediate family,,,,,,,,
POINTER,in-substance-nonfinancial-asset,In Substance Nonfinancial Asset,,,,,,,,
POINTER,income-taxes-currently-payable-refundable,income taxes currently payable,,,,,,,,
POINTER,interinsurance-exchange,interinsurance exchange,,,,,,,,
POINTER,issuance-of-financial-statements,Issuance of Financial Statements,,,,,,,,
POINTER,junk-bonds,junk bonds,,,,,,,,
POINTER,lease-payments,Lease Payments,,,,,,,,
POINTER,libor-swap-rate,LIBOR Swap Rate,,,,,,,,
POINTER,limited-life-land-development-costs,Limited Life Land Development Costs,,,,,,,,
POINTER,long-term-contracts,long-term contracts,,,,,,,,
POINTER,loss,Loss,,,,,,,,
POINTER,lump-sum-contract,Lump-Sum Contract,,,,,,,,
POINTER,mineral-interests,mineral interests,,,,,,,,
POINTER,new-basis-event,new basis event,,,,,,,,
POINTER,nonmanaging-investors,nonmanaging investors,,,,,,,,
POINTER,oil-and-gas-producing-activities,Oil- and Gas-Producing Activities,,,,,,,,
POINTER,ordinary-course-of-business,ordinary course of business,,,,,,,,
POINTER,participating-interest,Participating Interest,,,,,,,,
POINTER,permanent-land-development-costs,Permanent Land Development Costs,,,,,,,,
POINTER,plan-s-benefit-formula,plan's benefit formula,,,,,,,,
POINTER,postretirement-benefit-plan,postretirement benefit plan,,,,,,,,
POINTER,postretirement-benefits-other-than-pensions,postretirement benefits other than pensions,,,,,,,,
POINTER,preferred-stock-subject-to-mandatory-redemption-requirements-or-whose-redemption-is-outside-the-control-of-the-issuer,Preferred Stock Subject to Mandatory Redemption Requirements or Whose Redemption is Outside the Control of the Issuer,,,,,,,,
POINTER,preferred-stocks-which-are-not-redeemable-or-are-redeemable-solely-at-the-option-of-the-issuer,Preferred Stocks Which Are Not Redeemable or Are Redeemable Solely at the Option of the Issuer,,,,,,,,
POINTER,prior-service-costs,prior service costs,,,,,,,,
POINTER,production-costs,Production Costs,,,,,,,,
POINTER,qualified-assets,Qualified assets,,,,,,,,
POINTER,restricted-net-assets,restricted net assets,,,,,,,,
POINTER,row-crops,row crop,,,,,,,,
POINTER,significant-geographic-area,significant geographic area,,,,,,,,
POINTER,significant-influence,significant influence,,,,,,,,
POINTER,theoretical-investment,theoretical investment,,,,,,,,
POINTER,time-share,time-share,,,,,,,,
POINTER,time-sharing-interest,time-sharing interests,,,,,,,,
POINTER,top-off-provision,top-off,,,,,,,,
POINTER,translation,translation,,,,,,,,
POINTER,undeveloped-oil-and-gas-reserves,Undeveloped Oil and Gas Reserves,,,,,,,,
POINTER,unitized,unitized,,,,,,,,
POINTER,valuation-of-assets,Valuation of assets,,,,,,,,
POINTER,value,Value,,,,,,,,
SCOPECONF,transfer,Transfer,,,,,,,,
STALE,contractually-specified-component,contractually specified component,,,,,,,,
STALE,direct-financing-leases,direct financing lease,,,,,,,,
STALE,fed-funds-effective-swap-rate-or-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,,,,,,,,
STALE,london-interbank-offered-rate-swap-rate,London Interbank Offered Rate (LIBOR),,,,,,,,
STALE,preliminary-project-stage,preliminary project stage,,,,,,,,
STALE,sale-leaseback-accounting,Sale-Leaseback Accounting,,,,,,,,
STALE,significant-changes,significant,,,,,,,,
