code,slug,term,cycle_id,cycle_size,members,uses_in_cycle,target,kind,entries,source
CIRC,deductible-temporary-difference,deductible temporary difference,0,6,deductible temporary difference; deferred tax asset; deferred tax consequences; tax position; temporary difference; valuation allowance,temporary difference,,,,
CIRC,deferred-tax-asset,deferred tax asset,0,6,deductible temporary difference; deferred tax asset; deferred tax consequences; tax position; temporary difference; valuation allowance,deductible temporary difference; deferred tax consequences; valuation allowance,,,,
CIRC,deferred-tax-consequences,deferred tax consequences,0,6,deductible temporary difference; deferred tax asset; deferred tax consequences; tax position; temporary difference; valuation allowance,temporary difference,,,,
CIRC,tax-position,tax position,0,6,deductible temporary difference; deferred tax asset; deferred tax consequences; tax position; temporary difference; valuation allowance,deferred tax asset,,,,
CIRC,temporary-difference,Temporary Difference,0,6,deductible temporary difference; deferred tax asset; deferred tax consequences; tax position; temporary difference; valuation allowance,tax position,,,,
CIRC,valuation-allowance,valuation allowance,0,6,deductible temporary difference; deferred tax asset; deferred tax consequences; tax position; temporary difference; valuation allowance,deferred tax asset,,,,
CIRC,foreign-currency,foreign currency,1,5,foreign currency; foreign currency transactions; foreign entity; reporting currency; reporting entity,foreign entity,,,,
CIRC,foreign-currency-transactions,foreign currency transactions,1,5,foreign currency; foreign currency transactions; foreign entity; reporting currency; reporting entity,foreign currency; reporting entity,,,,
CIRC,foreign-entity,foreign entity,1,5,foreign currency; foreign currency transactions; foreign entity; reporting currency; reporting entity,reporting currency; reporting entity,,,,
CIRC,reporting-currency,reporting currency,1,5,foreign currency; foreign currency transactions; foreign entity; reporting currency; reporting entity,reporting entity,,,,
CIRC,reporting-entity,reporting entity,1,5,foreign currency; foreign currency transactions; foreign entity; reporting currency; reporting entity,foreign currency transactions,,,,
CIRC,board-designated-endowment-fund,Board-Designated Endowment Fund,2,4,board-designated endowment fund; donor-restricted endowment fund; endowment fund; funds functioning as endowment,endowment fund; funds functioning as endowment,,,,
CIRC,donor-restricted-endowment-fund,Donor-Restricted Endowment Fund,2,4,board-designated endowment fund; donor-restricted endowment fund; endowment fund; funds functioning as endowment,board-designated endowment fund; endowment fund,,,,
CIRC,endowment-fund,Endowment Fund,2,4,board-designated endowment fund; donor-restricted endowment fund; endowment fund; funds functioning as endowment,board-designated endowment fund; donor-restricted endowment fund; funds functioning as endowment,,,,
CIRC,funds-functioning-as-endowment,Funds Functioning as Endowment,2,4,board-designated endowment fund; donor-restricted endowment fund; endowment fund; funds functioning as endowment,board-designated endowment fund,,,,
CIRC,net-assets,Net Assets,3,3,net assets; net assets with donor restrictions; net assets without donor restrictions,net assets with donor restrictions; net assets without donor restrictions,,,,
CIRC,net-assets-with-donor-restrictions,Net Assets with Donor Restrictions,3,3,net assets; net assets with donor restrictions; net assets without donor restrictions,net assets,,,,
CIRC,net-assets-without-donor-restrictions,Net Assets without Donor Restrictions,3,3,net assets; net assets with donor restrictions; net assets without donor restrictions,net assets,,,,
CIRC,accumulated-plan-benefits,accumulated plan benefits,4,3,accumulated plan benefits; actuarial present value of accumulated plan benefits; benefit information date,benefit information date,,,,
CIRC,actuarial-present-value-of-accumulated-plan-benefits,actuarial present value of accumulated plan benefits,4,3,accumulated plan benefits; actuarial present value of accumulated plan benefits; benefit information date,accumulated plan benefits; benefit information date,,,,
CIRC,benefit-information-date,benefit information date,4,3,accumulated plan benefits; actuarial present value of accumulated plan benefits; benefit information date,actuarial present value of accumulated plan benefits,,,,
CIRC,comprehensive-income,Comprehensive Income,5,3,comprehensive income; net income; other comprehensive income,other comprehensive income,,,,
CIRC,net-income,net income,5,3,comprehensive income; net income; other comprehensive income,other comprehensive income,,,,
CIRC,other-comprehensive-income,other comprehensive income,5,3,comprehensive income; net income; other comprehensive income,comprehensive income; net income,,,,
CIRC,actuarial-calculation,actuarial calculation,6,3,actuarial calculation; actuarial calculation date; net closed block liability,net closed block liability,,,,
CIRC,actuarial-calculation-date,actuarial calculation date,6,3,actuarial calculation; actuarial calculation date; net closed block liability,actuarial calculation,,,,
CIRC,net-closed-block-liability,net closed block liability,6,3,actuarial calculation; actuarial calculation date; net closed block liability,actuarial calculation date,,,,
CIRC,gain-or-loss,Gain or Loss,7,3,gain or loss; net periodic pension cost; net periodic postretirement benefit cost,net periodic pension cost; net periodic postretirement benefit cost,,,,
CIRC,gain-or-loss-component-of-net-periodic-pension-cost,Gain or loss,7,3,gain or loss; net periodic pension cost; net periodic postretirement benefit cost,net periodic pension cost; net periodic postretirement benefit cost,,,,
CIRC,net-periodic-pension-cost,Net Periodic Pension Cost,7,3,gain or loss; net periodic pension cost; net periodic postretirement benefit cost,gain or loss,,,,
CIRC,net-periodic-postretirement-benefit-cost,net periodic postretirement benefit cost,7,3,gain or loss; net periodic pension cost; net periodic postretirement benefit cost,gain or loss,,,,
CIRC,lead-interest,Lead Interest,8,3,lead interest; remainder interest; split-interest agreement,split-interest agreement,,,,
CIRC,remainder-interest,remainder interest,8,3,lead interest; remainder interest; split-interest agreement,split-interest agreement,,,,
CIRC,split-interest-agreement,Split-Interest Agreement,8,3,lead interest; remainder interest; split-interest agreement,lead interest; remainder interest,,,,
CIRC,discount-rate,Discount Rate,9,3,discount rate; discount rate adjustment technique; present value,present value,,,,
CIRC,discount-rate-adjustment-technique,discount rate adjustment technique,9,3,discount rate; discount rate adjustment technique; present value,discount rate; present value,,,,
CIRC,present-value,Present Value,9,3,discount rate; discount rate adjustment technique; present value,discount rate; discount rate adjustment technique,,,,
CIRC,direct-financing-lease,Direct Financing Lease,10,3,direct financing lease; operating lease; sales-type lease,operating lease,,,,
CIRC,direct-financing-leases,direct financing lease,10,3,direct financing lease; operating lease; sales-type lease,operating lease,,,,
CIRC,operating-lease,Operating Lease,10,3,direct financing lease; operating lease; sales-type lease,direct financing lease; sales-type lease,,,,
CIRC,sales-type-lease,Sales-Type Lease,10,3,direct financing lease; operating lease; sales-type lease,operating lease,,,,
CIRC,expected-losses,expected losses,11,3,expected losses; expected residual returns; variable interests,variable interests,,,,
CIRC,expected-residual-returns,expected residual returns,11,3,expected losses; expected residual returns; variable interests,variable interests,,,,
CIRC,variable-interests,Variable Interests,11,3,expected losses; expected residual returns; variable interests,expected losses; expected residual returns,,,,
CIRC,fixed-price-contracts,fixed-price contract,12,2,fixed-price contract; lump-sum contract,lump-sum contract,,,,
CIRC,lump-sum-contract,Lump-Sum Contract,12,2,fixed-price contract; lump-sum contract,fixed-price contract,,,,
CIRC,corporate-joint-venture,Corporate Joint Venture,13,2,corporate joint venture; joint venture,joint venture,,,,
CIRC,joint-venture,Joint Venture,13,2,corporate joint venture; joint venture,corporate joint venture,,,,
CIRC,face-amount,face amount,14,2,face amount; notional amount,notional amount,,,,
CIRC,notional-amount,notional amount,14,2,face amount; notional amount,face amount,,,,
CIRC,fair-value,Fair Value,15,2,fair value; market participants,market participants,,,,
CIRC,market-participants,Market Participants,15,2,fair value; market participants,fair value,,,,
CIRC,attribution-period,attribution period,16,2,attribution period; credited service period,credited service period,,,,
CIRC,credited-service-period,credited service period,16,2,attribution period; credited service period,attribution period,,,,
CIRC,acquisition-by-a-not-for-profit-entity,Acquisition by a Not-for-Profit Entity,17,2,acquisition by a not-for-profit entity; business combination,business combination,,,,
CIRC,business-combination,Business Combination,17,2,acquisition by a not-for-profit entity; business combination,acquisition by a not-for-profit entity,,,,
CIRC,equity-kicker,equity kicker,18,2,equity kicker; expected residual profit,expected residual profit,,,,
CIRC,expected-residual-profit,expected residual profit,18,2,equity kicker; expected residual profit,equity kicker,,,,
CIRC,agricultural-cooperative,Agricultural Cooperative,19,2,agricultural cooperative; member of an agricultural cooperative,member of an agricultural cooperative,,,,
CIRC,member-of-an-agricultural-cooperative,Member of an Agricultural Cooperative,19,2,agricultural cooperative; member of an agricultural cooperative,agricultural cooperative,,,,
CIRC,expected-return-on-plan-assets,Expected Return on Plan Assets,20,2,expected return on plan assets; market-related value of plan assets,market-related value of plan assets,,,,
CIRC,market-related-value-of-plan-assets,market-related value of plan assets,20,2,expected return on plan assets; market-related value of plan assets,expected return on plan assets,,,,
CIRC,assuming-entity,assuming entity,21,2,assuming entity; ceding entity,ceding entity,,,,
CIRC,ceding-entity,ceding entity,21,2,assuming entity; ceding entity,assuming entity,,,,
CIRC,baby-bonds,baby bonds,22,2,baby bonds; payment-in-kind bonds,payment-in-kind bonds,,,,
CIRC,payment-in-kind-bonds,payment-in-kind bonds,22,2,baby bonds; payment-in-kind bonds,baby bonds,,,,
CIRC,closed-form-model,closed-form model,23,2,closed-form model; lattice model,lattice model,,,,
CIRC,lattice-model,lattice model,23,2,closed-form model; lattice model,closed-form model,,,,
CIRC,environmental-credit,Environmental Credit,24,2,environmental credit; environmental credit obligation,environmental credit obligation,,,,
CIRC,environmental-credit-obligation,Environmental Credit Obligation,24,2,environmental credit; environmental credit obligation,environmental credit,,,,
CIRC,contingent-stock-agreement,contingent stock agreement,25,2,contingent stock agreement; contingently issuable shares,contingently issuable shares,,,,
CIRC,contingently-issuable-shares,contingently issuable shares,25,2,contingent stock agreement; contingently issuable shares,contingent stock agreement,,,,
CIRC,contract-period,Contract Period,26,2,contract period; coverage period,coverage period,,,,
CIRC,coverage-period,coverage period,26,2,contract period; coverage period,contract period,,,,
CIRC,conversion-rate,conversion rate,27,2,conversion rate; convertible security,convertible security,,,,
CIRC,convertible-security,convertible security,27,2,conversion rate; convertible security,conversion rate,,,,
CIRC,requisite-service-period,requisite service period,28,2,requisite service period; service condition,service condition,,,,
CIRC,service-condition,Service Condition,28,2,requisite service period; service condition,requisite service period,,,,
CIRC,grant-date,Grant Date,29,2,grant date; service inception date,service inception date,,,,
CIRC,service-inception-date,Service Inception Date,29,2,grant date; service inception date,grant date,,,,
CIRC,nonregistered-investment-partnerships-financial-highlights,financial highlights,30,2,financial highlights; theoretical investment,theoretical investment,,,,
CIRC,theoretical-investment,theoretical investment,30,2,financial highlights; theoretical investment,financial highlights,,,,
CIRC,government-national-mortgage-association,Government National Mortgage Association,31,2,government national mortgage association; mortgage-backed securities,mortgage-backed securities,,,,
CIRC,mortgage-backed-securities,mortgage-backed securities,31,2,government national mortgage association; mortgage-backed securities,government national mortgage association,,,,
CIRC,management-and-general-activities,Management and General Activities,32,2,management and general activities; supporting activities,supporting activities,,,,
CIRC,supporting-activities,supporting activities,32,2,management and general activities; supporting activities,management and general activities,,,,
CIRC,gross-premium,gross premium,33,2,gross premium; net premiums,net premiums,,,,
CIRC,net-premiums,Net Premiums,33,2,gross premium; net premiums,gross premium,,,,
CIRC,high-yield-debt-securities,high-yield debt securities,34,2,high-yield debt securities; junk bonds,junk bonds,,,,
CIRC,junk-bonds,junk bonds,34,2,high-yield debt securities; junk bonds,high-yield debt securities,,,,
CIRC,land-development-costs,Land Development Costs,35,2,land development costs; permanent land development costs,permanent land development costs,,,,
CIRC,permanent-land-development-costs,Permanent Land Development Costs,35,2,land development costs; permanent land development costs,land development costs,,,,
DANGLING,associate,associate,,,,,942-210-S99-1,paragraph not in snapshot,,
DANGLING,benefit-formula,benefit formula,,,,,Pension Benefit Formula,pointer to a term with no entry,,
DANGLING,benefit,benefits,,,,,Tax ,pointer to a term with no entry,,
DANGLING,curtailment,curtailment,,,,,Plan Curtailment,pointer to a term with no entry,,
DANGLING,derivative-instrument,derivative instruments,,,,,815-10-15-112,paragraph is a superseded placeholder,,
DANGLING,economic-interest,Economic Interest,,,,,958-810-55-6,paragraph not in snapshot,,
DANGLING,environmental-credit-obligation,Environmental Credit Obligation,,,,,818-10-65-1A,paragraph not in snapshot,,
DANGLING,executive-officers,executive officers,,,,,942-210-S99-1,paragraph not in snapshot,,
DANGLING,fed-funds-effective-swap-rate-or-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,,,,,815-20-65-4,paragraph is a superseded placeholder,,
DANGLING,financial-guarantee-reinsurance-contract,financial guarantee reinsurance contracts,,,,,Financial Guarantee Insurance Contract,pointer to a term with no entry,,
DANGLING,nonregistered-investment-partnerships-financial-highlights,financial highlights,,,,,946-205-50-20,paragraph not in snapshot,,
DANGLING,foreign-activities,foreign activities,,,,,942-235-S99-1,paragraph not in snapshot,,
DANGLING,forgivable-loan,Forgivable Loan,,,,,832-10-65-2A,paragraph not in snapshot,,
DANGLING,forward-commitment-dollar-roll,forward commitment dollar rolls,,,,,Government National Mortgage Association Rolls,pointer to a term with no entry,,
